,动画,番剧,国创,音乐,舞蹈,游戏,娱乐,生活,鬼畜,影视,放映厅,时尚,广告,科技,数码
2009年08月06日,24,0,0,40,1,18,0,15,18,1,0,0,1,0,0
2009年08月07日,24,0,0,42,1,18,0,15,18,1,0,0,1,0,0
2009年08月08日,25,0,0,42,1,18,0,15,18,1,0,0,1,0,0
2009年08月09日,25,0,0,45,1,21,0,16,19,1,0,0,1,0,0
2009年08月10日,28,0,0,47,1,23,0,18,20,1,0,0,1,0,0
2009年08月11日,28,0,0,47,1,23,0,18,20,1,0,0,1,0,0
2009年08月12日,29,0,0,47,1,23,0,18,20,1,0,0,1,0,0
2009年08月13日,29,0,0,48,1,23,0,18,20,1,0,0,1,0,0
2009年08月14日,29,0,0,48,1,23,0,18,20,1,0,0,1,0,0
2009年08月15日,32,0,0,50,1,23,0,18,20,1,0,0,1,0,0
2009年08月16日,32,0,0,52,1,23,0,18,20,1,0,0,1,0,0
2009年08月17日,33,0,0,52,1,23,0,18,20,1,0,0,1,0,0
2009年08月18日,33,0,0,52,1,23,0,18,20,1,0,0,1,0,0
2009年08月19日,33,0,0,53,1,23,0,18,20,1,0,0,1,0,0
2009年08月20日,33,0,0,54,1,24,0,18,20,1,0,0,1,0,0
2009年08月21日,34,0,0,55,1,24,0,18,20,1,0,0,1,0,0
2009年08月22日,35,0,0,57,1,24,0,18,20,1,0,0,1,0,0
2009年08月23日,36,0,0,57,1,25,0,18,20,1,0,0,1,0,0
2009年08月24日,36,0,0,57,1,26,0,18,21,1,0,0,1,0,0
2009年08月25日,40,0,0,58,1,26,0,18,21,1,0,0,1,0,0
2009年08月26日,40,1,0,59,1,26,0,18,22,1,0,0,1,0,0
2009年08月27日,40,1,0,59,1,26,0,18,22,1,0,0,1,0,0
2009年08月28日,40,1,0,59,1,26,0,18,22,1,0,0,1,0,0
2009年08月29日,40,1,0,59,1,26,0,18,28,1,0,0,1,0,0
2009年08月30日,40,1,0,60,1,26,0,18,28,1,0,0,1,0,0
2009年08月31日,40,1,0,60,1,26,0,18,28,1,0,0,1,0,0
2009年09月01日,40,1,0,60,1,26,0,18,28,1,0,0,1,0,0
2009年09月02日,40,1,0,60,1,27,0,18,28,1,0,0,1,0,0
2009年09月03日,40,1,0,60,1,27,0,18,29,1,0,0,1,0,0
2009年09月04日,41,1,0,60,1,27,0,18,29,1,0,0,1,0,0
2009年09月05日,42,1,0,62,1,27,0,18,29,1,0,0,1,0,0
2009年09月06日,42,1,0,62,1,27,0,18,29,1,0,0,1,0,0
2009年09月07日,42,1,0,62,1,27,0,18,29,1,0,0,1,0,0
2009年09月08日,44,1,0,65,1,27,0,18,30,1,0,0,1,0,0
2009年09月09日,44,1,0,65,1,27,0,18,30,1,0,0,1,1,0
2009年09月10日,44,1,0,66,1,27,0,19,31,1,0,0,1,1,0
2009年09月11日,44,1,0,66,1,27,0,19,31,1,0,0,1,1,0
2009年09月12日,44,1,0,66,1,27,0,19,31,1,0,0,1,1,0
2009年09月13日,47,1,0,67,1,28,0,20,31,1,0,0,1,1,0
2009年09月14日,49,1,0,71,1,29,0,21,32,1,0,0,1,1,0
2009年09月15日,49,1,0,73,1,31,0,21,36,1,0,0,1,1,0
2009年09月16日,52,1,0,74,1,33,0,21,36,1,0,0,1,1,0
2009年09月17日,55,1,0,78,1,34,0,21,37,1,0,0,1,1,0
2009年09月18日,57,1,0,79,1,34,0,21,38,1,0,0,1,1,0
2009年09月19日,60,1,0,82,1,36,0,21,39,1,0,0,1,1,0
2009年09月20日,66,1,0,88,1,36,0,21,39,1,0,0,1,1,0
2009年09月21日,68,1,0,91,1,36,0,21,41,1,0,0,1,1,0
2009年09月22日,68,1,0,91,1,36,0,21,41,1,0,0,1,1,0
2009年09月23日,68,3,0,91,1,36,0,21,42,1,0,0,1,1,0
2009年09月24日,69,3,0,91,1,36,0,21,42,1,0,0,1,1,0
2009年09月25日,70,3,0,91,1,36,0,22,42,1,0,0,1,1,0
2009年09月26日,71,3,0,91,1,37,0,22,42,1,0,0,1,1,0
2009年09月27日,71,3,0,91,1,37,0,22,42,1,0,0,1,1,0
2009年09月28日,71,3,0,91,1,37,0,22,42,1,0,0,1,1,0
2009年09月29日,71,3,0,91,1,37,0,22,42,1,0,0,1,1,0
2009年09月30日,71,3,1,91,1,37,0,23,42,1,0,0,1,1,0
2009年10月01日,71,4,1,91,1,39,0,23,42,1,0,0,1,1,0
2009年10月02日,71,5,1,93,1,41,0,23,43,1,0,0,1,1,0
2009年10月03日,72,5,1,93,1,41,0,23,43,1,0,0,1,1,0
2009年10月04日,73,6,1,94,1,41,0,23,43,1,0,0,1,1,0
2009年10月05日,73,6,1,94,1,41,0,23,43,1,0,0,1,1,0
2009年10月06日,73,7,1,95,1,42,0,23,43,1,0,0,1,1,0
2009年10月07日,73,7,1,95,1,42,0,23,43,1,0,0,1,1,0
2009年10月08日,73,7,1,95,1,42,0,24,44,1,0,0,1,1,0
2009年10月09日,73,7,1,95,1,43,0,24,44,1,0,0,1,1,0
2009年10月10日,73,7,1,95,1,43,0,24,44,1,0,0,1,1,0
2009年10月11日,73,7,1,95,1,46,0,25,44,1,0,0,1,1,0
2009年10月12日,74,7,1,96,1,46,0,26,44,1,0,0,1,1,0
2009年10月13日,74,7,1,97,1,46,0,26,44,1,0,0,1,1,0
2009年10月14日,78,8,1,97,1,47,0,27,44,1,0,0,1,2,0
2009年10月15日,80,8,1,97,1,48,0,28,44,1,0,0,1,2,0
2009年10月16日,80,9,1,100,1,50,0,28,44,1,0,0,1,2,0
2009年10月17日,82,9,1,101,1,51,0,28,45,1,0,0,1,2,0
2009年10月18日,83,9,1,101,1,53,0,28,45,1,0,0,1,2,0
2009年10月19日,85,9,1,101,1,54,0,28,46,1,0,0,1,2,0
2009年10月20日,86,9,1,101,1,54,0,28,46,1,0,0,1,2,0
2009年10月21日,87,10,1,102,1,54,0,29,46,1,0,0,1,2,0
2009年10月22日,88,10,1,103,1,54,0,29,46,1,0,0,1,2,0
2009年10月23日,90,10,1,104,1,55,0,29,46,1,0,0,1,2,0
2009年10月24日,90,10,1,104,1,55,0,31,46,1,0,0,1,2,0
2009年10月25日,90,10,1,107,1,55,0,31,46,1,0,0,1,2,0
2009年10月26日,90,10,1,107,1,55,0,31,46,1,0,0,1,2,0
2009年10月27日,90,10,1,107,1,55,0,31,46,1,0,0,1,2,0
2009年10月28日,90,10,1,107,1,55,0,31,46,1,0,0,1,2,0
2009年10月29日,90,10,1,107,1,55,0,31,46,1,0,0,1,2,0
2009年10月30日,90,10,1,107,1,55,0,31,46,1,0,0,1,2,0
2009年10月31日,91,11,1,108,1,56,0,31,46,1,0,0,1,2,0
2009年11月01日,91,11,1,110,1,56,0,31,46,1,0,0,1,2,0
2009年11月02日,91,11,1,113,1,57,0,32,46,1,0,0,1,2,0
2009年11月03日,92,13,1,115,1,60,0,32,46,1,0,0,1,2,0
2009年11月04日,94,13,1,115,1,63,0,32,46,1,0,0,1,2,0
2009年11月05日,94,13,1,117,1,64,0,32,47,1,0,0,1,2,0
2009年11月06日,95,14,1,117,1,65,0,32,47,1,0,0,1,2,0
2009年11月07日,98,16,1,122,1,67,0,32,49,1,0,0,1,2,0
2009年11月08日,98,16,1,123,1,67,0,33,49,1,0,0,1,2,0
2009年11月09日,99,16,1,123,1,68,0,33,49,1,0,0,1,2,0
2009年11月10日,99,18,1,125,1,68,0,34,50,1,0,0,1,2,0
2009年11月11日,99,18,1,125,1,69,0,34,50,1,0,0,1,2,0
2009年11月12日,100,18,1,126,1,70,0,34,50,1,0,0,1,2,0
2009年11月13日,101,18,1,126,1,71,0,34,50,1,0,0,1,2,0
2009年11月14日,103,18,1,126,1,74,0,34,50,1,0,0,1,2,0
2009年11月15日,105,18,1,126,1,75,0,34,50,1,0,0,1,2,0
2009年11月16日,105,18,1,126,1,77,0,34,50,1,0,0,1,2,0
2009年11月17日,105,18,1,126,1,78,0,34,50,1,0,0,1,2,0
2009年11月18日,105,18,1,126,1,79,0,34,50,1,0,0,1,2,0
2009年11月19日,105,18,1,127,1,80,0,35,50,1,0,0,1,2,0
2009年11月20日,108,18,1,128,1,82,0,35,54,1,0,0,1,2,0
2009年11月21日,108,18,1,129,1,82,0,35,54,1,0,0,1,2,0
2009年11月22日,108,18,1,132,1,85,0,35,54,1,0,0,1,2,0
2009年11月23日,108,18,1,133,1,86,0,35,54,1,0,0,1,2,0
2009年11月24日,109,18,1,135,1,86,0,35,54,1,0,0,1,2,0
2009年11月25日,109,18,1,135,1,86,0,35,54,1,0,0,1,2,0
2009年11月26日,111,18,1,137,1,86,0,35,54,1,0,0,1,2,0
2009年11月27日,111,18,1,137,1,89,0,35,55,1,0,0,1,2,0
2009年11月28日,111,18,1,137,1,91,0,35,55,1,0,0,1,2,0
2009年11月29日,114,18,1,139,1,92,0,35,56,1,0,0,1,2,0
2009年11月30日,114,18,1,139,1,93,0,35,56,1,0,0,1,2,0
2009年12月01日,114,19,1,139,1,93,0,35,56,1,0,0,1,2,0
2009年12月02日,114,19,1,139,1,94,0,35,56,1,0,0,1,2,0
2009年12月03日,115,19,1,139,1,94,0,35,56,1,0,0,1,2,0
2009年12月04日,115,19,1,139,1,94,0,35,56,1,0,0,1,2,0
2009年12月05日,116,19,1,139,1,94,0,35,57,1,0,0,1,2,0
2009年12月06日,120,19,1,140,1,94,0,36,58,1,0,0,1,2,0
2009年12月07日,125,19,1,142,1,95,0,37,60,1,0,0,1,2,0
2009年12月08日,125,19,1,143,1,98,0,37,60,1,0,0,1,2,0
2009年12月09日,125,19,1,143,1,98,0,37,60,1,0,0,1,2,0
2009年12月10日,125,19,1,144,1,98,0,37,60,1,0,0,1,2,0
2009年12月11日,125,19,1,145,1,98,0,37,60,1,0,0,1,2,0
2009年12月12日,125,19,1,145,1,100,0,37,60,1,0,0,1,2,0
2009年12月13日,125,19,1,145,1,101,0,37,60,1,0,0,1,2,0
2009年12月14日,125,19,1,148,1,102,0,37,60,1,0,0,1,2,0
2009年12月15日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月16日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月17日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月18日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月19日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月20日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月21日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月22日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月23日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月24日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月25日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月26日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月27日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月28日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月29日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月30日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2009年12月31日,125,19,1,150,1,102,0,37,60,1,0,0,1,2,0
2010年01月01日,128,19,1,155,3,105,0,42,60,1,0,0,1,2,0
2010年01月02日,133,19,1,162,3,108,0,44,61,1,0,0,1,2,0
2010年01月03日,140,20,1,167,5,111,0,44,61,1,0,0,1,2,0
2010年01月04日,144,21,1,169,5,115,0,46,61,1,0,0,1,2,0
2010年01月05日,154,23,1,180,6,115,0,49,63,1,0,0,1,2,0
2010年01月06日,160,23,1,189,6,118,0,52,65,1,0,0,1,2,0
2010年01月07日,165,25,1,192,6,124,0,56,67,1,0,0,1,2,0
2010年01月08日,167,27,1,196,6,129,0,58,69,1,0,0,1,3,0
2010年01月09日,177,28,1,205,6,132,0,66,73,1,0,0,1,3,0
2010年01月10日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月11日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月12日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月13日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月14日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月15日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月16日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月17日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月18日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月19日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月20日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月21日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月22日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月23日,184,29,1,218,6,138,0,66,74,1,0,0,1,3,0
2010年01月24日,204,33,2,237,6,149,0,74,80,1,0,0,1,3,0
2010年01月25日,208,36,2,249,6,156,0,79,82,1,0,0,1,3,0
2010年01月26日,212,39,3,266,6,159,0,89,84,1,0,0,1,3,0
2010年01月27日,221,40,3,273,6,162,0,93,84,1,0,0,1,3,0
2010年01月28日,222,44,3,283,6,165,0,96,84,1,0,0,1,3,0
2010年01月29日,229,46,3,293,6,167,0,98,84,1,0,0,1,3,0
2010年01月30日,233,47,3,311,6,167,0,100,85,1,0,0,1,3,0
2010年01月31日,238,47,3,320,7,171,0,104,86,1,0,0,1,3,0
2010年02月01日,245,49,3,326,7,177,0,109,91,1,0,0,1,3,0
2010年02月02日,257,51,3,336,7,181,0,112,92,1,0,0,1,3,0
2010年02月03日,260,53,3,342,7,189,0,116,93,2,0,0,1,3,0
2010年02月04日,265,56,3,349,7,193,0,119,95,2,0,0,1,3,0
2010年02月05日,272,57,3,361,7,200,0,123,98,2,0,0,1,3,0
2010年02月06日,281,59,4,378,7,205,0,127,98,2,0,0,1,3,0
2010年02月07日,288,59,4,382,7,208,0,131,100,2,0,0,1,3,0
2010年02月08日,293,62,4,388,7,214,0,135,104,2,0,0,1,3,0
2010年02月09日,303,63,4,394,7,216,0,146,106,2,0,0,1,3,0
2010年02月10日,312,64,4,401,7,219,0,149,107,2,0,0,1,3,0
2010年02月11日,320,65,4,425,7,226,0,154,109,2,0,0,1,3,0
2010年02月12日,327,68,4,432,7,228,0,156,109,2,0,0,1,3,0
2010年02月13日,331,69,4,443,7,229,0,157,109,2,0,0,1,3,0
2010年02月14日,337,70,5,454,7,233,0,161,111,2,0,0,1,3,0
2010年02月15日,348,70,5,465,7,238,0,167,111,2,0,0,1,4,0
2010年02月16日,352,73,5,467,7,240,0,169,112,2,0,0,1,4,0
2010年02月17日,378,73,5,477,8,250,0,176,113,2,0,0,1,4,0
2010年02月18日,379,73,5,483,8,256,0,176,113,2,0,0,1,4,0
2010年02月19日,393,78,5,499,8,264,0,179,114,2,0,0,1,4,0
2010年02月20日,405,79,5,528,8,271,0,181,114,3,0,0,1,4,0
2010年02月21日,429,81,5,582,8,281,0,192,117,3,0,0,1,4,0
2010年02月22日,457,87,5,632,8,300,0,204,120,4,0,0,1,4,0
2010年02月23日,485,91,5,680,8,313,0,223,126,5,0,0,1,4,0
2010年02月24日,495,92,5,703,8,319,0,225,129,5,0,0,1,4,0
2010年02月25日,504,92,5,712,8,328,0,231,133,5,0,0,1,4,0
2010年02月26日,509,92,5,720,8,334,0,235,135,5,0,0,1,4,0
2010年02月27日,513,93,5,731,8,339,0,239,135,5,0,0,1,4,0
2010年02月28日,520,94,5,736,9,344,0,241,139,5,0,0,1,4,0
2010年03月01日,523,96,5,746,9,349,0,243,140,5,0,0,1,4,0
2010年03月02日,527,98,5,764,9,353,0,246,145,5,0,0,1,4,0
2010年03月03日,532,98,5,774,9,357,0,250,146,5,0,0,1,4,0
2010年03月04日,544,100,5,787,9,362,0,250,146,5,0,0,1,4,0
2010年03月05日,549,100,6,792,10,364,0,256,147,5,0,0,1,4,0
2010年03月06日,559,100,6,802,10,373,0,258,150,5,0,0,1,4,0
2010年03月07日,565,101,6,818,10,375,0,260,156,5,0,0,1,4,0
2010年03月08日,572,103,6,830,10,378,0,262,158,5,0,0,1,4,0
2010年03月09日,574,105,6,843,10,382,0,271,159,5,0,0,1,4,0
2010年03月10日,581,106,6,850,10,387,0,278,160,5,0,0,1,4,0
2010年03月11日,585,107,6,865,10,389,0,278,161,5,0,0,1,4,0
2010年03月12日,588,108,6,873,10,393,0,282,162,5,0,0,1,4,0
2010年03月13日,593,108,6,890,10,398,0,285,162,5,0,0,1,4,0
2010年03月14日,604,109,6,901,10,407,0,291,162,5,0,0,1,4,0
2010年03月15日,608,110,7,915,10,413,0,293,162,6,0,0,1,4,0
2010年03月16日,612,111,7,927,10,421,0,297,162,6,0,0,1,4,0
2010年03月17日,620,111,7,946,10,422,0,301,165,6,0,0,1,4,0
2010年03月18日,623,111,7,966,10,424,0,304,165,6,0,0,1,4,0
2010年03月19日,628,113,7,971,10,430,0,306,166,6,0,0,1,4,0
2010年03月20日,634,113,7,973,10,436,0,309,166,6,0,0,1,4,0
2010年03月21日,635,114,7,976,10,445,0,315,166,7,0,0,1,4,0
2010年03月22日,639,116,7,988,10,446,0,316,166,7,0,0,1,4,0
2010年03月23日,647,118,7,1000,10,453,0,316,168,7,0,0,1,4,0
2010年03月24日,652,120,7,1009,10,459,0,324,169,7,0,0,1,4,0
2010年03月25日,657,122,7,1020,10,463,0,325,170,8,0,0,1,4,0
2010年03月26日,660,123,7,1027,11,467,0,329,173,8,0,0,1,4,0
2010年03月27日,667,123,7,1032,11,470,0,331,174,8,0,0,1,4,0
2010年03月28日,670,123,7,1037,11,472,0,336,178,8,0,0,1,4,0
2010年03月29日,675,125,7,1047,11,481,0,341,179,8,0,0,1,4,0
2010年03月30日,683,125,7,1058,11,483,0,344,179,8,0,0,1,4,0
2010年03月31日,694,126,7,1067,11,490,0,350,181,8,0,0,1,4,0
2010年04月01日,702,127,7,1076,11,493,0,354,183,8,0,0,1,4,0
2010年04月02日,706,127,7,1088,11,501,0,356,184,8,0,0,1,4,0
2010年04月03日,712,131,7,1093,11,505,0,363,184,8,0,0,1,4,0
2010年04月04日,718,138,7,1100,11,512,0,368,186,8,0,0,1,4,0
2010年04月05日,725,139,7,1107,11,518,0,374,187,8,0,0,1,4,0
2010年04月06日,730,139,7,1116,11,525,0,375,187,8,0,0,1,4,0
2010年04月07日,733,141,7,1121,11,531,0,375,188,8,0,0,1,4,0
2010年04月08日,739,142,7,1126,11,533,0,387,193,8,0,0,1,4,0
2010年04月09日,740,142,7,1132,11,535,0,394,194,8,0,0,1,4,0
2010年04月10日,742,143,7,1135,11,535,0,394,194,8,0,0,1,4,0
2010年04月11日,747,146,8,1147,12,543,0,397,196,8,0,0,1,4,0
2010年04月12日,756,147,8,1163,12,550,0,402,200,8,0,0,1,4,0
2010年04月13日,761,151,8,1176,12,552,0,405,201,8,0,0,1,4,0
2010年04月14日,771,153,8,1183,12,556,0,408,202,8,0,0,1,4,0
2010年04月15日,773,153,8,1185,12,556,0,410,202,8,0,0,1,4,0
2010年04月16日,773,153,8,1185,12,556,0,410,202,8,0,0,1,4,0
2010年04月17日,773,153,8,1185,12,556,0,410,202,8,0,0,1,4,0
2010年04月18日,773,153,8,1185,12,556,0,410,202,8,0,0,1,4,0
2010年04月19日,780,156,8,1203,12,562,0,414,210,8,0,0,1,4,0
2010年04月20日,792,161,8,1218,12,565,0,421,222,8,0,0,1,4,0
2010年04月21日,792,161,8,1218,12,566,0,421,222,8,0,0,1,4,0
2010年04月22日,803,163,8,1232,12,572,0,430,224,8,0,0,1,4,0
2010年04月23日,822,163,8,1248,13,576,0,433,225,8,0,0,1,4,0
2010年04月24日,830,167,8,1262,13,580,0,444,228,8,0,0,1,4,0
2010年04月25日,837,168,8,1272,13,583,0,454,234,8,0,0,1,4,0
2010年04月26日,845,172,8,1283,13,593,0,462,238,8,0,0,1,4,0
2010年04月27日,851,173,8,1291,13,596,0,466,240,8,0,0,1,4,0
2010年04月28日,857,175,8,1305,13,603,0,474,240,8,0,0,1,4,0
2010年04月29日,863,176,8,1314,13,609,0,482,244,8,0,0,1,4,0
2010年04月30日,873,179,8,1321,13,617,0,489,248,8,0,0,1,4,0
2010年05月01日,882,179,8,1335,13,626,0,497,252,8,0,0,1,4,0
2010年05月02日,893,180,8,1355,13,634,0,508,255,8,0,0,1,4,0
2010年05月03日,904,181,8,1369,14,641,0,523,258,8,0,0,1,4,0
2010年05月04日,913,182,8,1385,14,650,0,526,259,8,0,0,1,4,0
2010年05月05日,920,184,8,1396,14,661,0,537,260,8,0,0,1,4,0
2010年05月06日,926,186,8,1409,14,667,0,543,260,8,0,0,1,4,0
2010年05月07日,935,191,8,1420,14,677,0,550,264,8,0,0,1,5,0
2010年05月08日,954,193,8,1435,14,684,0,561,268,8,0,0,1,5,0
2010年05月09日,964,194,8,1447,14,691,0,574,270,8,0,0,1,5,0
2010年05月10日,975,197,8,1461,14,700,0,578,271,8,0,0,1,5,0
2010年05月11日,981,198,9,1477,14,711,0,583,278,8,0,0,1,5,0
2010年05月12日,994,199,9,1494,14,717,0,591,278,8,0,0,1,5,0
2010年05月13日,1006,201,9,1505,14,733,0,605,280,8,0,0,1,5,0
2010年05月14日,1011,203,9,1511,14,744,0,614,282,8,0,0,1,5,0
2010年05月15日,1020,205,9,1524,14,752,0,629,286,8,0,0,1,5,0
2010年05月16日,1029,206,9,1534,14,763,0,638,288,9,0,0,1,5,0
2010年05月17日,1041,207,9,1548,14,770,0,647,290,9,0,0,1,5,0
2010年05月18日,1053,207,9,1560,14,775,0,656,290,9,0,0,1,5,0
2010年05月19日,1063,210,9,1569,14,790,0,667,295,9,0,0,1,5,0
2010年05月20日,1068,210,9,1586,14,798,0,676,298,9,0,0,1,5,0
2010年05月21日,1085,212,10,1596,15,807,0,687,301,9,0,0,1,5,0
2010年05月22日,1097,213,11,1602,15,823,0,698,301,9,0,0,1,5,0
2010年05月23日,1110,216,11,1618,15,836,0,713,304,9,0,0,1,5,0
2010年05月24日,1116,218,11,1627,15,842,0,726,306,9,0,0,2,5,0
2010年05月25日,1123,219,11,1635,15,855,0,732,310,9,0,0,2,5,0
2010年05月26日,1133,223,11,1645,15,867,0,740,314,9,0,0,2,5,0
2010年05月27日,1144,223,11,1655,15,873,0,744,317,9,0,0,2,5,0
2010年05月28日,1152,225,12,1664,15,881,0,752,320,9,0,0,2,5,0
2010年05月29日,1157,226,13,1673,15,894,0,762,322,9,0,0,2,5,0
2010年05月30日,1167,228,13,1686,15,901,0,769,324,9,0,0,2,5,0
2010年05月31日,1174,231,15,1695,15,911,0,772,327,9,0,0,2,5,0
2010年06月01日,1183,231,15,1707,15,916,0,776,328,9,0,0,2,5,0
2010年06月02日,1195,233,15,1716,15,931,0,785,332,9,0,0,2,5,0
